prod_name,total_price,dis_price,dis_perncetage,prod_rating,prod_reviews,image_src,prod_short_desc
"realme C35 (Glowing Black, 128 GB)","14,999","11,999",20% off,4.4,"1,71,779 Ratings ",https://rukminim1.flixcart.com/image/312/312/l0fm07k0/mobile/1/k/g/-original-imagc7ukmgugpdfy.jpeg?q=70,"['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) Full HD+ Display', '50MP + 2MP + 0.3MP | 8MP Front Camera', '5000 mAh Lithium Polymer Battery', 'Unisoc Tiger T616 Processor', '1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories']"
"SAMSUNG Galaxy F13 (Sunrise Copper, 128 GB)","16,999","10,799",36% off,4.4,"1,26,635 Ratings ",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/x/x/s/-original-imagfhu6dcpdnqkh.jpeg?q=70,"['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) Full HD+ Display', '50MP + 5MP + 2MP | 8MP Front Camera', '6000 mAh Lithium Ion Battery', 'Exynos 850 Processor', '1 Year Warranty Provided By the Manufacturer from Date of Purchase']"
"APPLE iPhone 14 (Blue, 128 GB)","79,900","65,999",17% off,4.7,"18,872 Ratings ",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/3/5/l/-original-imaghx9qmgqsk9s4.jpeg?q=70,"['128 GB ROM', '15.49 cm (6.1 inch) Super Retina XDR Display', '12MP + 12MP | 12MP Front Camera', 'A15 Bionic Chip, 6 Core Processor Processor', '1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories']"
"POCO X4 Pro 5G (Laser Blue, 64 GB)","22,999","15,999",30% off,4.2,"76,421 Ratings ",https://rukminim1.flixcart.com/image/312/312/l19m93k0/mobile/w/0/6/-original-imagcv2dcyjzcmvd.jpeg?q=70,"['6 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '16.94 cm (6.67 inch) Full HD+ Super AMOLED Display', '64MP + 8MP + 2MP | 16MP Front Camera', '5000 mAh Lithium-ion Polymer Battery', 'Qualcomm Snapdragon 695 5G Processor', 'One Year for Handset, 6 Months for Accessories']"
"vivo T1 44W (Starry Sky, 128 GB)","19,990","14,499",27% off,4.5,"92,393 Ratings ",https://rukminim1.flixcart.com/image/312/312/l2p23rk0/mobile/s/4/3/-original-imagdznhcbdfwfud.jpeg?q=70,"['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.36 cm (6.44 inch) Full HD+ AMOLED Display', '50MP + 2MP + 2MP | 16MP Front Camera', '5000 mAh Lithium Battery', 'Qualcomm Snapdragon 680 Processor', '1 Year Handset and 6 Months Accessories']"
"vivo T1 44W (Midnight Galaxy, 128 GB)","19,990","14,499",27% off,4.5,"92,393 Ratings ",https://rukminim1.flixcart.com/image/312/312/l2p23rk0/mobile/x/b/y/-original-imagdznhnzmzfbwx.jpeg?q=70,"['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.36 cm (6.44 inch) Full HD+ AMOLED Display', '50MP + 2MP + 2MP | 16MP Front Camera', '5000 mAh Lithium Battery', 'Qualcomm Snapdragon 680 Processor', '1 Year Handset and 6 Months Accessories']"
"POCO M4 Pro 5G (Yellow, 64 GB)","16,999","13,099",22% off,4.3,"42,338 Ratings ",https://rukminim1.flixcart.com/image/312/312/l0igvww0/mobile/i/m/b/-original-imagcafg8zjz4rej.jpeg?q=70,"['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) Full HD+ Display', '50MP + 8MP | 16MP Front Camera', '5000 mAh Lithium-ion Polymer Battery', 'Mediatek Dimensity 810 Processor', 'One Year for Handset, 6 Months for Accessories']"
"SAMSUNG Galaxy F13 (Nightsky Green, 128 GB)","16,999","10,799",36% off,4.4,"1,26,635 Ratings ",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/i/v/-original-imagfhu6bdzhnmkz.jpeg?q=70,"['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) Full HD+ Display', '50MP + 5MP + 2MP | 8MP Front Camera', '6000 mAh Lithium Ion Battery', 'Exynos 850 Processor', '1 Year Warranty Provided By the Manufacturer from Date of Purchase']"
"MOTOROLA g31 (Baby Blue, 128 GB)","16,999","10,999",35% off,4.1,"14,007 Ratings ",https://rukminim1.flixcart.com/image/312/312/l1l1rww0/mobile/j/e/u/-original-imagd48zzrkcjfn2.jpeg?q=70,"['6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.26 cm (6.4 inch) Full HD+ Display', '50MP + 8MP + 2MP | 13MP Front Camera', '5000 mAh LiPo Battery', 'Mediatek Helio G85 Processor', '1 Year on Handset and 6 Months on Accessories']"
"MOTOROLA e13 (Aurora Green, 64 GB)","10,999","7,749",29% off,4.1,"3,835 Ratings ",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/i/8/5/-original-imagmmmhmjpfvbry.jpeg?q=70,"['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '16.51 cm (6.5 inch) HD+ Display', '13MP Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'Unisoc T606 Processor', '1 Year on Handset and 6 Months on Accessories']"
"vivo T1 44W (Midnight Galaxy, 128 GB)","20,990","15,999",23% off,4.4,"52,829 Ratings ",https://rukminim1.flixcart.com/image/312/312/l2p23rk0/mobile/x/b/y/-original-imagdznhnzmzfbwx.jpeg?q=70,"['6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.36 cm (6.44 inch) Full HD+ AMOLED Display', '50MP + 2MP + 2MP | 16MP Front Camera', '5000 mAh Lithium Battery', 'Qualcomm Snapdragon 680 Processor', '1 Year Handset and 6 Months Accessories']"
"MOTOROLA e13 (Creamy White, 64 GB)","10,999","7,749",29% off,4.1,"3,835 Ratings ",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/8/u/c/-original-imagmmmh6ezhc2wu.jpeg?q=70,"['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '16.51 cm (6.5 inch) HD+ Display', '13MP Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'Unisoc T606 Processor', '1 Year on Handset and 6 Months on Accessories']"
"MOTOROLA G62 5G (Frosted Blue, 128 GB)","24,999","16,499",34% off,4.1,"5,808 Ratings ",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/t/6/g/-original-imagh29eknx3cavh.jpeg?q=70,"['8 GB RAM | 128 GB ROM', '16.64 cm (6.55 inch) Full HD+ Display', '50MP + 8MP + 2MP | 16MP Front Camera', '5000 mAh Lithium Polymer Battery', 'Qualcomm Snapdragon 695 5G Processor', '1 Year on Handset and 6 Months on Accessories']"
"MOTOROLA g52 (Charcoal Grey, 64 GB)","17,999","10,999",38% off,4.2,"11,346 Ratings ",https://rukminim1.flixcart.com/image/312/312/l29c9e80/mobile/l/g/m/-original-imagdnefhnhztahe.jpeg?q=70,"['4 GB RAM | 64 GB ROM', '16.76 cm (6.6 inch) Full HD+ Display', '50MP + 8MP + 2MP | 16MP Front Camera', '5000 mAh Lithium Battery', 'Qualcomm Snapdragon 680 Processor', '1 Year on Handset and 6 Months on Accessories']"
"MOTOROLA g52 (Metallic White, 128 GB)","19,999","12,999",35% off,4.2,"29,548 Ratings ",https://rukminim1.flixcart.com/image/312/312/l29c9e80/mobile/4/f/z/-original-imagdnefpypk9cgx.jpeg?q=70,"['6 GB RAM | 128 GB ROM', '16.76 cm (6.6 inch) Full HD+ Display', '50MP + 8MP + 2MP | 16MP Front Camera', '5000 mAh Lithium Battery', 'Qualcomm Snapdragon 680 Processor', '1 Year on Handset and 6 Months on Accessories']"
